SECCIÓN,DIVISIÓN,GRUPO,CLASE,SUBCLASE,DESCRIPCIÓN,
,,473,,,Venta al por menor de combustible  para vehículos automotores en comercios especializados,
,,,4730,,Venta al por menor de combustible y lubricantes para vehículos automotores en comercios especializados,
,,,,47301,Venta al por menor de combustible para vehículos automotores en comercios especializados,
,,,,47302,"Venta por menor de grasas, aceites y lubricantes para vehículos automotores",
,,474,,,Venta por menor de equipo de información y de comunicaciones en tiendas especializadas,
,,,4741,,"Venta por menor de computadoras, equipo periférico, programas informáticos y equipo de telecomunicaciones en tiendas especializadas",
,,,,47411,"Venta por menor de computadoras, equipo periférico y programas informáticos",
,,,,47412,Venta al por menor de aparatos telefónicos y comunicación,
,,,4742,,Venta por menor de equipos de sonido y audio,
,,,,47420,Venta por menor de equipos de sonido y audio,
,,475,,,Venta por menor de otros enseres domésticos en tiendas especializadas,
,,,4751,,Venta por menor de productos textiles en tiendas especializadas,
,,,,47511,Venta por menor de hilados de lana y algodón,
,,,,47512,Venta por menor de  telas,
,,,,47513,Venta por menor de  confecciones para el hogar,
,,,,47514,Venta por menor de  artículos de mercería,
,,,,47519,Venta por menor de otros productos textiles en tiendas especializadas n.c.p.,
,,,4752,,"Venta por menor de artículos de ferretería, pintura y productos de vidrio en tiendas especializadas",
,,,,47521,"Venta por menor de artículos de ferretería, fontanería y calefacción",
,,,,47522,Venta por menor de pintura y productos conexos,
,,,,47523,"Venta por menor de vidrio plano, espejos y sus productos",
,,,,47524,Venta por menor de materiales de construcción,
,,,,47529,Venta por menor de otros artículos n.c.p.,
,,,4753,,"Venta por menor de tapices, alfombras y cubrimientos para paredes y pisos en tiendas especializadas",
,,,,47531,Venta por menor de tapices y alfombras,
,,,,47532,Venta por menor de cortinas y visillos,
,,,,47533,Venta por menor de cubrimientos para paredes y pisos,
,,,4759,,"Venta por menor de aparatos eléctricos, muebles, equipo de iluminación y otros enseres domésticos en tiendas especializadas",
,,,,47591,Venta por menor de enseres eléctricos y línea blanca,
,,,,47592,Venta por menor de artículos de iluminación,
,,,,47593,venta por menor de muebles y colchones,
,,,,47594,"Venta por menor de cubiertos, vajilla, cristalería y utensilios de cocina",
,,,,47595,Venta por menor de productos de mimbre y corcho,
,,,,47596,Venta por menor de instrumentos musicales,
,,,,47597,"Venta por menor de cajas de caudales, cajas fuertes y otros sistemas de seguridad",
,,,,47599,Venta por menor de otros enseres domésticos para el hogar n.c.p.,
,,476,,,"Venta al por menor de libros, periódicos y artículos recreativos en tiendas especializadas",
,,,4761,,"Venta por menor de libros, revistas, diarios, papel, cartón, materiales de embalaje y artículos de papelería en tiendas especializadas",
,,,,47611,Venta por menor de libros y revistas,
,,,,47612,Venta por menor de periódicos,
,,,,47613,Venta al por menor de material de oficina y artículos de librería,
,,,4762,,Venta por menor de grabaciones de música y de vídeo en tiendas especializadas,
,,,,47621,"Venta por menor de discos compactos de audio, video y casetes grabados",
,,,,47622,"Venta por menor de discos compactos de audio, video y casetes no grabados",
,,,4763,,Venta al por menor de artículos deportivos en tiendas especializadas,
,,,,47630,Venta al por menor de artículos deportivos en tiendas especializadas,
,,,4764,,Venta por menor de juegos y juguetes en tiendas especializadas,
,,,,47640,Venta por menor de juegos y juguetes en tiendas especializadas,
,,477,,,Venta al por menor de otros productos en tiendas especializadas,
,,,4771,,Venta por menor de prendas de vestir y accesorios,
,,,,47711,Venta por menor de prendas de vestir,
,,,,47712,Venta por menor de accesorios de vestir,
,,,4772,,"Venta por menor de calzado, talabartería, marroquinería y otros artículos de cueros",
,,,,47721,Venta por menor de calzado,
,,,,47722,"Venta por menor de artículos de talabartería, marroquinería y otros artículos de cuero y piel",
,,,,47723,"Venta por menor de partes, piezas y accesorios para el calzado",
,,,4773,,"Venta por menor de productos farmacéuticos, medicinales, ortopédicos, cosméticos y artículos de perfumería en tiendas especializadas",
,,,,47731,Venta por menor de productos farmacéuticos y medicinales,
,,,,47732,Venta por menor de cosméticos y artículos de perfumería,
,,,,47733,Venta por menor de artículos ortopédicos,
,,,4774,,Venta por menor de relojes y joyas,
,,,,47741,Venta por menor de relojes,
,,,,47742,Venta por menor de artículos de joyería y bisutería,
,,,,47743,Venta por menor de artículos de orfebrería,
,,,4775,,"Venta por menor de equipo fotográfico, óptico y de presición",
,,,,47750,"Venta por menor de equipo fotográfico, óptico y de presición",
,,,4776,,"Venta por menor de gas en garrafas, carbón y leña para uso doméstico",
,,,,47760,"Venta por menor de gas en garrafas, carbón y leña para uso doméstico",
,,,4777,,Venta por menor de otros productos nuevos en tiendas especializadas,
,,,,47771,Venta por menor de flores naturales y artificiales,
,,,,47772,"Venta por menor de plantas, semillas, abonos y fertilizantes",
,,,,47773,"Venta por menor de productos veterinarios, animales domésticos y alimentos para animales",
,,,,47774,"Venta por menor de objetos de arte, artesanías y artículos religiosos",
,,,,47775,"Venta por menor de gafas, lentes, monturas y otros artículos no realizados a medida",
,,,,47776,Venta por menor de materiales y productos de limpieza,
,,,,47779,Venta por menor de otros productos nuevos n.c. p.,
,,,4779,,Venta por menor de artículos usados en tiendas especializadas,
,,,,47791,Venta por menor de muebles usados,
,,,,47792,"Venta por menor de libros, revistas y similares usados",
,,,,47793,"Venta por menor de prendas de vestir, calzado y productos textiles usados",
,,,,47794,"Venta por menor de aparatos eléctricos, electrónicos y de computación usados",
,,,,47795,"Venta por menor de utensilios de cocina, cristalería y vajilla usadas",
,,,,47796,Venta por menor de juegos y juguetes usados,
,,,,47799,Venta por menor en almacenes de otros artículos usados n.c.p.,
,,478,,,Venta por menor en puestos de venta y mercados,
,,,4781,,"Venta de alimentos, bebidas y tabaco en puestos de venta y mercados",
,,,,47810,"Venta de alimentos, bebidas y tabaco en puestos de venta y mercados",
,,,4782,,"Venta de productos textiles, prendas de vestir y calzado en puestos de venta y mercados",
,,,,47821,Venta de productos textiles en puestos de venta y mercados,
,,,,47822,Venta de prendas de vestir en puestos de venta y mercados,
,,,,47823,Venta de calzados en puestos de venta y mercados,
,,,4783,,"Venta de libros, revistas y periódicos en puestos de venta y mercados",
,,,,47830,"Venta de libros, revistas y periódicos en puestos de venta y mercados",
,,,4784,,"Venta de papel, productos de papel y artículos de librería en puestos de venta y mercados",
,,,,47840,"Venta de papel, productos de papel y artículos de librería en puestos de venta y mercados",
,,,4785,,Venta de juegos y juguetes en puestos de venta y mercados,
,,,,47850,Venta de juegos y juguetes en puestos de venta y mercados,
,,,4786,,"Venta de aparatos de uso doméstico, productos eléctricos y electrónicos en puestos de venta y mercados",
,,,,47860,"Venta de aparatos de uso doméstico, productos eléctricos y electrónicos en puestos de venta y mercados",
,,,4787,,Venta de grabaciones de música y vídeo en puestos de venta y mercados,
,,,,47870,Venta de grabaciones de música y vídeo en puestos de venta y mercados,
,,,4789,,Venta de otros artículos en puestos de venta y mercados,
,,,,47890,Venta de otros artículos en puestos de venta y mercados,
,,479,,,"Venta por menor no realizado en tiendas, puestos de venta o mercados",
,,,4791,,Venta por menor por correo y por Internet,
,,,,47911,Venta por menor por correo y por Internet,
,,,,47912,"Venta por televisión, por radio y por teléfono",
,,,4792,,Venta realizada por vendedores ambulantes o por vendedores a domicilio,
,,,,47921,Venta realizada por vendedores ambulantes,
,,,,47922,Venta realizada por vendedores a domicilio,
,,,,47923,Venta mediante máquinas expendedoras,
,,,,47924,Actividades de casas de subastas (por menor),
,,,4799,,"Otras ventas por menor no realizado en tiendas, puestos de venta o mercados",
,,,,47990,"Otras ventas por menor no realizado en tiendas, puestos de venta o mercados",
H,,,,,TRANSPORTE Y ALMACENAMIENTO,
,49,,,,TRANSPORTE POR VÍA TERRESTRE; TRANSPORTE POR TUBERÍAS,
,,491,,,Servicio de transporte por vía férrea,
,,,4911,,Transporte de pasajeros por vía férrea,
,,,,49110,Transporte de pasajeros por vía férrea,
,,,4912,,Transporte de carga por vía férrea,
,,,,49120,Transporte de carga por vía férrea,
,,492,,,Otros servicios de transporte por vía terrestre,
,,,4921,,Transporte regular urbano y suburbano de pasajeros por vía terrestre,
,,,,49211,"Transporte en micros, buses y colectivos (pumakatari)",
,,,,49212,Transporte en minibús,
,,,,49213,Transporte en trufi,
,,,,49214,"Explotación de funiculares, teleféricos de transporte urbano o suburbano",
,,,,49219,Otros servicios de transporte automotor urbano de pasajeros n.c.p.,
,,,4922,,Otras actividades de transporte de pasajeros por vía terrestre,
,,,,49221,"Transporte regular de larga distancia de pasajeros (interprovincial, interdepartamental e internacional)",
,,,,49222,"Transporte en taxi, radiotaxi y mototaxi",
,,,,49223,Transporte en autobuses escolares y para el transporte de empleados,
,,,,49224,Transporte de autobuses turísticos,
,,,,49225,Alquiler de limusinas y otros vehículos con conductor,
,,,,49226,Transporte de pasajeros en vehículos de tracción animal,
,,,,49227,Transporte en bicitaxis,
,,,,49229,Otros servicios de transporte automotor no regular de pasajeros n.c.p.,
,,,4923,,Transporte automotor de carga por carretera,
,,,,49231,Transporte automotor de carga urbano,
,,,,49232,Transporte automotor de carga interprovincial y interdepartamental,
,,,,49233,Transporte automotor de carga internacional,
,,,,49234,Transporte de carga en vehículos de tracción animal,
,,,,49235,Transporte automotor de mudanzas,
,,493,,,Transporte por tuberías,
,,,4930,,Transporte por tuberías,
,,,,49300,Transporte por tuberías,
,50,,,,TRANSPORTE POR VÍA ACUÁTICA,
,,501,,,Transporte marítimo y de cabotaje,
,,,5011,,Transporte de pasajeros marítimo y de cabotaje,
,,,,50110,Transporte de pasajeros marítimo y de cabotaje,
,,,5012,,Transporte de carga marítimo y de cabotaje,
,,,,50120,Transporte de carga marítimo y de cabotaje,
,,502,,,Transporte por vías de navegación interiores,
,,,5021,,Transporte de pasajeros por vías de navegación interiores,
,,,,50210,Transporte de pasajeros por vías de navegación interiores,
,,,5022,,Transporte de carga por vías de navegación interiores,
,,,,50220,Transporte de carga por vías de navegación interiores,
,51,,,,TRANSPORTE POR VÍA AÉREA,
,,511,,,Transporte de pasajeros por vía aérea,
,,,5110,,Transporte de pasajeros por vía aérea,
,,,,51100,Transporte de pasajeros por vía aérea,
,,512,,,Transporte de carga por vía aérea,
,,,5120,,Transporte de carga por vía aérea,
,,,,51200,Transporte de carga por vía aérea,
,52,,,,ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,
,,521,,,Almacenamiento y depósito,
,,,5210,,Almacenamiento y depósito,
,,,,52101,Explotación de instalaciones de almacenamiento y depósito para todo tipo de productos,
,,,,52102,Zonas francas,
,,522,,,Actividades de apoyo al transporte,
,,,5221,,Servicios vinculados al transporte terrestre,
,,,,52211,Explotación de instalaciones terminales de buses,
,,,,52212,Explotación de estaciones ferroviarias y cambio de vías o de agujas,
,,,,52213,"Explotación de carreteras, puentes, túneles (cobro de peaje)",
,,,,52214,Servicio de aparcamientos o garajes,
,,,,52215,Servicio de remolque y asistencia en carretera,
,,,,52219,Otros servicios vinculados al transporte terrestre n.c.p.,
,,,5222,,Servicio de puertos y otros servicios complementarios de transporte por agua,
,,,,52220,Servicio de puertos y otros servicios complementarios de transporte por agua,
,,,5223,,"Servicio de aeropuertos, terminales aéreas y otros servicios complementarios del transporte aéreo",
,,,,52230,"Servicio de aeropuertos, terminales aéreas y otros servicios complementarios del transporte aéreo",
,,,5224,,Servicios de manipulación de carga,
,,,,52240,Servicios de manipulación de carga,
,,,5229,,Otras actividades de apoyo al transporte,
,,,,52291,Transporte intermodal de carga y/o servicio de operadores logísticos para el transporte de mercaderías,
,,,,52292,Servicios de tramitación de formalidades de aduana o agencias despachantes de aduana,
,,,,52293,Servicio de embalaje y desembalaje de cajas y cajones,
,,,,52294,"Servicio de inspección, pesaje y muestreo de la carga",
,,,,52299,Otras actividades de apoyo al transporte n.c.p.,
,53,,,,ACTIVIDADES POSTALES Y DE MENSAJERÍA,
,,531,,,Actividades de correo nacional,
,,,5310,,Actividades de correo nacional,
,,,,53100,Actividades de correo nacional,
,,532,,,Actividades de courier,
,,,5320,,Actividades de courier,
,,,,53200,Actividades de courier,
I,,,,,ACTIVIDADES DE ALOJAMIENTO Y SERVICIO DE COMIDAS,
,55,,,,ACTIVIDADES DE ALOJAMIENTO,
,,551,,,Actividades de alojamiento,
,,,5510,,"Servicio de hoteles, moteles y otro tipo de hospedaje para estancias cortas",
,,,,55101,Servicios de hoteles,
,,,,55102,Servicios de apart hoteles,
,,,,55103,Servicios de hostales,
,,,,55104,Servicios de casa de huéspedes,
,,,,55105,Servicios de residenciales,
,,,,55106,Servicios de alojamientos,
,,,,55107,Servicios de cabañas y refugios de vacaciones,
,,,,55108,Servicios de moteles,
,,,,55109,Otros servicios de alojamiento n.c.p.,
,,552,,,Actividades de campamentos para visitantes temporales,
,,,5520,,Actividades de campamentos para visitantes temporales,
,,,,55200,Actividades de campamentos para visitantes temporales,
,,559,,,Otras actividades de alojamiento,
,,,5590,,Otras actividades de alojamiento,
,,,,55900,Otras actividades de alojamiento,
,56,,,,ACTIVIDADES DE EXPENDIO DE COMIDAS Y BEBIDAS,
,,561,,,Actividades de expendio de comidas en locales y puestos de comidas,
,,,5611,,Expendio de comida en locales,
,,,,56111,"Expendio de comidas en restaurantes, churrasquerías, chifas, fricaserías y otros locales",
,,,,56112,"Expendio de comidas en cafeterías, confiterías, snack, heladerías y otros locales de comida rápida",
,,,5612,,Expendio de comida en puestos fijos y móviles,
,,,,56120,Expendio de comida en puestos fijos y móviles,
,,562,,,Suministro de comidas por encargo y otras actividades de servicio de comidas,
,,,5621,,Suministro de comidas bajo contrato,
,,,,56210,Suministro de comidas bajo contrato,
,,,5629,,Suministro de comidas  por concesionarios,
,,,,56290,Suministro de comidas  por concesionarios,
,,563,,,Expendio de bebidas en locales y puestos,
,,,5630,,Expendio de bebidas en locales y puestos,
,,,,56301,Expendio de bebidas alcohólicas en locales,
,,,,56302,Expendio de jugos en locales,
,,,,56303,"Expendio de jugos y bebidas en puestos fijos, móviles y ambulantes",
J,,,,,INFORMACIÓN Y COMUNICACIONES,
,58,,,,ACTIVIDADES DE EDICIÓN,
,,581,,,"Edición de libros, publicaciones periódicas y otras actividades de edición",
,,,5811,,"Edición de libros impresos, en formato electrónico, grabaciones sonoras o por Internet",
,,,,58110,"Edición de libros impresos, en formato electrónico, grabaciones sonoras o por Internet",
,,,5812,,"Edición de directorios, guías telefónicas y listas de correo",
,,,,58120,"Edición de directorios, guías telefónicas y listas de correo",
,,,5813,,"Edición de periódicos, revistas y otras publicaciones periódicas",
,,,,58130,"Edición de periódicos, revistas y otras publicaciones periódicas",
,,,5819,,Otras actividades de edición,
,,,,58190,Otras actividades de edición,
,,582,,,Edición de programas informáticos,
,,,5820,,Edición de programas informáticos,
,,,,58200,Edición de programas informáticos,
,59,,,,"ACTIVIDADES DE PRODUCCIÓN DE PELÍCULAS CINEMATOGRÁFICAS, VÍDEOS Y PROGRAMAS DE TELEVISIÓN, GRABACIÓN DE SONIDO Y EDICIÓN DE MÚSICA",
,,591,,,"Actividades de producción de películas cinematográficas, vídeos y programas de televisión",
,,,5911,,"Actividades de producción de películas cinematográficas, vídeos y programas de televisión",
,,,,59110,"Actividades de producción de películas cinematográficas, vídeos y programas de televisión",
,,,5912,,"Actividades de postproducción de películas cinematográficas, vídeos y programas de televisión",
,,,,59120,"Actividades de postproducción de películas cinematográficas, vídeos y programas de televisión",
,,,5913,,"Actividades de distribución de películas cinematográficas, vídeos y programas de televisión",
,,,,59130,"Actividades de distribución de películas cinematográficas, vídeos y programas de televisión",
,,,5914,,Actividades de exhibición de películas cinematográficas y cintas de vídeo,
,,,,59140,Actividades de exhibición de películas cinematográficas y cintas de vídeo,
,,592,,,Actividades de grabación de sonido y edición de música,
,,,5920,,Actividades de grabación de sonido y edición de música,
,,,,59201,Actividades de grabación de sonido,
,,,,59202,Actividades de edición de música,
,,,,59203,Edición de libros de música y partituras,
,60,,,,ACTIVIDADES DE PROGRAMACIÓN Y TRANSMISIÓN DE RADIO TELEVISIÓN,
,,601,,,Transmisiones de radio,
,,,6010,,Transmisiones de radio,
,,,,60100,Transmisiones de radio,
,,602,,,Programación y transmisiones de televisión,
,,,6020,,Programación y transmisiones de televisión,
,,,,60200,Programación y transmisiones de televisión,
,61,,,,TELECOMUNICACIONES,
,,611,,,Actividades de telecomunicación alámbrica,
,,,6110,,Actividades de telecomunicación alámbrica,
,,,,61100,Servicios de telefonía fija e internet por conexión alámbrica,
,,612,,,Actividades de telecomunicación inalámbrica,
,,,6120,,Actividades de telecomunicación inalámbrica,
,,,,61200,Servicios de telefonía móvil e internet por conexión inalámbrica,
,,613,,,Actividades de telecomunicaciones por satélite,
,,,6130,,Actividades de telecomunicaciones por satélite,
,,,,61300,Actividades de telecomunicaciones por satélite,
,,619,,,Otras actividades de telecomunicaciones,
,,,6190,,Servicios telefónicos y de internet al público y otras actividades de telecomunicaciones,
,,,,61900,Servicios telefónicos y de internet al público y otras actividades de telecomunicaciones,
,62,,,,"PROGRAMACIÓN INFORMÁTICA, CONSULTORÍA DE INFORNÁTICA Y ACTIVIDADES CONEXAS",
,,620,,,Programación informática y de consultoría de informática y actividades conexas,
,,,6201,,Actividades de programación informática,
,,,,62010,Actividades de programación informática,
,,,6202,,Actividades de consultoría de informática y de gestión de instalaciones informáticas,
,,,,62020,Actividades de consultoría de informática y de gestión de instalaciones informáticas,
,,,6209,,Otras actividades de la tecnología de la información y de servicios informáticos,
,,,,62090,Otras actividades delatecnología de la información y de servicios informáticos,
,63,,,,ACTIVIDADES DE SERVICIOS DE INFORMACIÓN,
,,631,,,"Procesamiento de datos, hospedaje y actividades conexas; portales web",
,,,6311,,"Procesamiento de datos, hospedaje y actividades conexas",
,,,,63110,"Procesamiento de datos, hospedaje y actividades conexas",
,,,6312,,Portales web,
,,,,63120,Portales web,
,,639,,,Otras actividades de servicios de información,
,,,6391,,Actividades de agencias de noticias,
,,,,63910,Actividades de agencias de noticias,
,,,6399,,Otras actividades de servicios de información n.c.p.,
,,,,63990,Otras actividades de servicios de información n.c.p.,
K,,,,,INTERMEDIACIÓN FINANCIERA Y SEGUROS,
,64,,,,"INTERMEDIACION FINANCIERA, EXCEPTO PLANES DE SEGUROS Y DE ADMINISTRACIÓN DE FONDOS DE JUBILACIONES Y PENSIONES",
,,641,,,Intermediación monetaria,
,,,6411,,Banca central,
,,,,64110,Banca central,
,,,6412,,Servicios de entidades financieras de segundo piso,
,,,,64120,Servicios de entidades financieras de segundo piso,
,,,6419,,Otros tipos de intermediación monetaria,
,,,,64191,Servicios de entidades bancarias,
,,,,64192,Servicios de cooperativas de ahorro y crédito,
,,,,64193,Servicios de mutuales de ahorro y préstamo,
,,,,64194,Servicios de fondos financieros privados,
,,642,,,Actividades de sociedades de cartera,
,,,6420,,Actividades de sociedades de cartera,
,,,,64200,Actividades de sociedades de cartera,
,,643,,,Fondos y sociedades de inversión y entidades financieras similares,
,,,6430,,Fondos y sociedades de inversión y entidades financieras similares,
,,,,64300,Fondos y sociedades de inversión y entidades financieras similares,
,,649,,,"Otras actividades de servicios financieros, excepto las de seguro y fondos de pensiones",
,,,6491,,Arrendamiento financiero,
,,,,64910,Arrendamiento financiero,
,,,6492,,Otras actividades de concesión de crédito,
,,,,64921,Actividades de casas de empeño,
,,,,64922,Concesión de préstamos fuera del sistema bancario,
,,,,64923,Servicios financieros de instituciones no dedicadas a la interminación monetaria,
,,,6499,,"Otras actividades de servicios financieros, excepto las de seguros y fondos de pensiones n.c.p.",
,,,,64990,"Otras actividades de servicios financieros, excepto las de seguros y fondos de pensiones n.c.p.",
,65,,,,"SERVICIOS DE SEGUROS, REASEGUROS Y FONDOS DE PENSIONES, EXCEPTO PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA",
,,651,,,Seguros,
,,,6511,,Servicio de planes de seguros de vida,
,,,,65110,Servicio de planes de seguros de vida,
,,,6512,,Servicios de planes de seguros generales,
,,,,65120,Servicios de seguros generales,
,,652,,,Reaseguros,
,,,6520,,Reaseguros,
,,,,65200,Reaseguros,
,,653,,,Fondos de pensiones,
,,,6530,,Fondos de pensiones,
,,,,65300,Fondos de pensiones,
,66,,,,ACTIVIDADES AUXILIARES DE LAS ACTIVIDADES DE SERVICIOS FINANCIEROS,
,,661,,,"Actividades auxiliares de las actividades de servicios financieros, excepto las de seguros y fondos de pensiones",
,,,6611,,Administración de mercados financieros,
,,,,66110,Bolsa de valores,
,,,6612,,Títulos de valor y contratos de corretaje de materias primas,
,,,,66121,Actividades de corredores de valores,
,,,,66122,Actividades de casas de cambio,
,,,6619,,Otras actividades auxiliares de los servicios financieros,
,,,,66190,Otras actividades auxiliares de las actividades de los servicios financieros,
,,662,,,Actividades auxiliares de las actividades de seguros y fondos de pensiones,
,,,6621,,Evaluación de riesgos y daños,
,,,,66210,Evaluación de riesgos y daños,
,,,6622,,Actividades de agentes y corredores de seguros,
,,,,66220,Actividades de agentes y corredores de seguros,
,,,6629,,Otras actividades auxiliares de las actividades de seguros y fondos de pensiones,
,,,,66290,Otras actividades auxiliares de las actividades de seguros y fondos de pensiones,
,,663,,,Actividades de gestión de fondos,
,,,6630,,Actividades de gestión de fondos,
,,,,66300,Actividades de gestión de fondos,
L,,,,,ACTIVIDADES INMOBILIARIAS,
,68,,,,ACTIVIDADES INMOBILIARIAS,
,,681,,,Actividades inmobiliarias realizadas con bienes propios o arrendados,
,,,6810,,Actividades inmobiliarias realizadas con bienes propios o arrendados,
,,,,68101,"Actividades de alquiler, compra, venta de bienes inmuebles propios realizados sin intermediarios",
,,,,68102,Actividades de anticrético de bienes inmuebles propios realizadas sin intermediarios,
,,682,,,Actividades inmobiliarias realizadas a cambio de una retribución o por contrato,
,,,6820,,Actividades inmobiliarias realizadas a cambio de una retribución o por contrato,
,,,,68201,Actividades inmobiliarias de bienes inmuebles con intermediarios,
,,,,68202,Administración de bienes inmuebles,
M,,,,,SERVICIOS PROFESIONALES Y TECNICOS,
,69,,,,SERVICIOS JURÍDICOS Y DE CONTABILIDAD,
,,691,,,Servicios jurídicos,
,,,6910,,Servicios jurídicos,
,,,,69100,Servicios jurídicos,
,,692,,,"Servicios de contabilidad, teneduría de libros y auditoria; consultoría fiscal",
,,,6920,,"Servicios de contabilidad, teneduría de libros y auditoria; consultoría fiscal",
,,,,69200,"Servicios de contabilidad, teneduría de libros y auditoria; consultoría fiscal",
,70,,,,ACTIVIDADES DE OFICINAS PRINCIPALES; ACTIVIDADES DE CONSULTORÍA DE GESTIÓN,
,,701,,,Actividades de oficinas principales,
,,,7010,,Actividades de oficinas principales,
,,,,70100,Actividades de oficinas principales,
,,702,,,Actividades de consultoría de gestión,
,,,7020,,Actividades de consultoría de gestión,
,,,,70201,Consultoría en planificación estratégica y organizativa,
,,,,70202,Consultoría en relaciones públicas y comunicaciones,
,,,,70203,Consultoría en asesoramiento y asistencia operativa a las empresas y la administración pública,
,,,,70209,Otras actividades de consultoría de gestión n.c.p.,
,71,,,,ACTIVIDADES DE ARQUITECTURA E INGENIERÍA; ENSAYOS Y ANÁLISIS TÉCNICO,
,,711,,,Actividades de arquitectura e ingeniería y actividades conexas de consultoría técnica,
,,,7110,,Actividades de arquitectura e ingeniería y actividades conexas de consultoría técnica,
,,,,71101,Actividades de consultoría en arquitectura,
,,,,71102,"Actividades de consultoría en ingeniería civil, hidráulica y afines",
,,,,71103,"Actividades de consultoría en ingeniería eléctrica, mecánica, industrial y de sistema de seguridad",
,,,,71104,"Actividades de consultoría en estudios geofísicos, geológicos y sismográficos",
,,,,71105,"Actividades de consultoría en estudios geodésicos, agrimensura y cartografía",
,,,,71109,Otras actividades de consultorías en ingeniería n.c.p.,
,,712,,,Ensayos y análisis técnicos,
,,,7120,,Ensayos y análisis técnicos,
,,,,71201,"Ensayos de calificación, fiabilidad, composición, pureza de los productos (verificadora)",
,,,,71202,Ensayos de medición de indicadores ambientales,
,,,,71203,Servicios de inspección técnica de vehículos de motor,
,,,,71204,Actividades de laboratorios policiales,
,,,,71209,Otros servicios de ensayo y análisis técnico n.c.p.,
,72,,,,INVESTIGACIÓN Y DESARROLLO,
,,721,,,Investigaciones y desarrollo experimental en el campo de las Ciencias Naturales y la Ingeniería,
,,,7210,,Investigaciones y desarrollo experimental en el campo de las Ciencias Naturales y la Ingeniería,
,,,,72100,Investigaciones y desarrollo experimental en el campo de las Ciencias Naturales y la Ingeniería,
,,722,,,Investigaciones y desarrollo experimental en el campo de las Ciencias Sociales y las Humanidades,
,,,7220,,Investigaciones y desarrollo experimental en el campo de las Ciencias Sociales y las Humanidades,
,,,,72200,Investigaciones y desarrollo experimental en el campo de las Ciencias Sociales y las Humanidades,
,73,,,,PUBLICIDAD Y ESTUDIOS DE MERCADO,
,,731,,,Publicidad,
,,,7310,,Publicidad,
,,,,73100,Publicidad,
,,732,,,Estudios de mercado y realización de encuestas de opinión pública,
,,,7320,,Estudios de mercado y realización de encuestas de opinión pública,
,,,,73200,Estudios de mercado y realización de encuestas de opinión pública,
,74,,,,"OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",
,,741,,,Actividades especializadas de diseño,
,,,7410,,Actividades especializadas de diseño,
,,,,74101,Actividades de diseño de prendas de vestir y telas,
,,,,74102,Actividades de diseño gráfico,
,,,,74103,Actividades de decorado de interiores,
,,,,74104,Actividades de diseño de joyas,
,,,,74105,Actividades de diseño de muebles,
,,,,74109,Otras actividades especializadas de diseño,
,,742,,,Actividades de fotografía,
,,,7420,,Actividades de fotografía,
,,,,74201,Actividades de fotografía,
,,,,74202,Actividades de filmación de acontecimientos sociales,
,,749,,,Otras actividades profesionales y técnicas n.c.p.,
,,,7491,,Consultoría en agronomía,
,,,,74910,Consultoría en agronomía,
,,,7492,,Actividades de traducción e interpretación,
,,,,74920,Actividades de traducción e interpretación,
,,,7493,,Consultoría en economía,
,,,,74930,Consultoría en economía,
,,,7494,,Consultoría en sociología,
,,,,74940,Consultoría en sociología,
,,,7495,,Consultoría en antropología y arqueología,
,,,,74950,Consultoría en antropología y arqueología,
,,,7496,,Actividades en meteorología,
,,,,74960,Actividades en meteorología,
,,,7497,,Actividades de agentes y representantes de artistas y deportistas,
,,,,74970,Actividades de agentes y representantes de artistas y deportistas,
,,,7498,,Consultoría en mercadotécnia,
,,,,74980,Consultoría en mercadotecnia,
,,,7499,,Otras actividades profesionales y técnicas n.c.p.,
,,,,74991,Otras actividades especializadas de carácter profesional,
,,,,74992,Otras actividades especializadas de carácter técnico,
,75,,,,ACTIVIDADES VETERINARIAS,
,,750,,,Actividades veterinarias,
,,,7500,,Actividades veterinarias,
,,,,75000,Actividades veterinarias,
N,,,,,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,
,77,,,,ACTIVIDADES DE ALQUILER,
,,771,,,Alquiler de vehículos automotores sin conductor,
,,,7710,,Alquiler de vehículos automotores sin conductor,
,,,,77100,Alquiler de vehículos automotores de pasajeros sin conductor,
,,772,,,Alquiler de efectos personales y enseres domésticos,
,,,7721,,Alquiler de equipo recreativo y deportivo,
,,,,77211,Alquiler de embarcaciones de recreo,
,,,,77212,Alquiler de bicicletas,
,,,,77219,Alquiler de otro equipo deportivo y recreativo n.c.p.,
,,,7722,,Alquiler de cintas de vídeo,
,,,,77220,Alquiler de cintas de vídeo,
,,,7729,,Alquiler de otros efectos personales y enseres domésticos,
,,,,77291,"Alquiler de productos textiles, prendas de vestir y calzado",
,,,,77292,"Alquiler de utensilios de cocina, vajilla, muebles y otros artículos de uso doméstico",
,,,,77293,"Alquiler de instrumentos musicales, equipo de música, luz y sonido",
,,,,77294,"Alquiler de libros, periódicos y revistas",
,,,,77295,Alquiler de material de escenografía y de vestuario,
,,,,77299,Alquiler de otros efectos personales y enseres domésticos n.c.p.,
,,773,,,"Alquiler de otros tipos de maquinaria, equipo y bienes tangibles",
